,Eg,FE,SE,DE,511
131,1370.0,0.28063455705627116,0.0036248297244380226,0.004348197067462589,0.003334084010598038
132,1380.0,0.2823373554013523,0.003521726033483685,0.004029110272000336,0.0032240872478971456
133,1390.0,0.2813766073111444,0.0035953456403277685,0.003794423472018121,0.003446037266560004
134,1400.0,0.28075693294946275,0.0038207989454589857,0.003685196477666078,0.0034917635456673717
135,1410.0,0.2810725762772447,0.004063783797312042,0.0040767162794087515,0.0037434561638397105
136,1420.0,0.27978584922176,0.0039276713523085875,0.0035290538608599505,0.00366589270120799
137,1430.0,0.2801282660440571,0.00414292352400733,0.0037561977761942952,0.003552918857472059
138,1440.0,0.27883026745802136,0.004313155699741268,0.00344874226404932,0.0037061849825830045
139,1450.0,0.2784720785318016,0.00454783152975185,0.0034412023871837356,0.0037272295274197007
140,1460.0,0.27853874711456345,0.004609481387893059,0.0033960452618494157,0.0038136563961371633
141,1470.0,0.27799642643746403,0.004568335131128851,0.0033079351089500744,0.0037300362873378145
142,1480.0,0.27732486414054586,0.0048074235675179796,0.0031560711117769005,0.00386070064593102
143,1490.0,0.276654273539764,0.004982482876635767,0.0031353758834083397,0.003871669594615239
144,1500.0,0.2745378612573661,0.005082620725524073,0.00294895749008358,0.004299625042793616
145,1510.0,0.27461689176337756,0.005182390457962608,0.002860226427618707,0.004140443855617384
146,1520.0,0.27281224297001977,0.005289276527516326,0.002821725888483691,0.004282212288005767
147,1530.0,0.2738110958576796,0.005415512494685501,0.00490315590379237,0.004825819059883973
148,1540.0,0.2717275221865092,0.005498045441411324,0.001540773108868051,0.00433202874087539
149,1550.0,0.2729837472754354,0.005769134133073966,0.002636708689035655,0.004474061984485814
150,1560.0,0.27273282596081044,0.005742049898108359,0.0027255829556877063,0.004744317823614353
151,1570.0,0.27123004168615056,0.005937932168412481,0.002706884713255136,0.004657505101477933
152,1580.0,0.2723867564016866,0.005981315986305544,0.002666939407347721,0.004573550213758393
153,1590.0,0.2706254614105917,0.006237848316504931,0.0027852538387986097,0.0048722626965114375
154,1600.0,0.26980728629343176,0.006392904385955165,0.002594263860726656,0.004730037961702806
155,1610.0,0.2706053888557031,0.006396493919205157,0.002698565872262599,0.00472321027802632
156,1620.0,0.26939521111548226,0.0066329598871808435,0.0024996813194800697,0.005029029607146925
157,1630.0,0.26856090836886676,0.006539464814153224,0.002563370733059915,0.005124828502886204
158,1640.0,0.2677739129365735,0.007112863729777039,0.0026664897268712474,0.005076531210435964
159,1650.0,0.2676547935909784,0.00696314415990211,0.0025127204685486248,0.0051246147240912
160,1660.0,0.26735770852182356,0.007110010774434949,0.0024964925472032826,0.005373403006361351
161,1670.0,0.2657012992148407,0.007211024687220888,0.0026621379636291905,0.005450502076692493
162,1680.0,0.26479916770528517,0.007429193291932355,0.002541616114703526,0.005518232296871258
163,1690.0,0.2652030196730206,0.007769013206614333,0.0025079351674776222,0.005602854028362616
164,1700.0,0.26513288879198554,0.007768333143513039,0.0024359934912184353,0.005825777216289955
165,1710.0,0.2633404384847254,0.007863624996505496,0.0024065200852718583,0.005823929485360109
166,1720.0,0.26224075764114996,0.008340001694223676,0.002557826459330142,0.006320665015805143
167,1730.0,0.2632515506225079,0.008212540356684922,0.0026668477708800954,0.005864626191889679
168,1740.0,0.262043946531613,0.008699776473595544,0.002566593533724111,0.006055322098022346
169,1750.0,0.26170977992536487,0.008408563919223837,0.002731242046190902,0.006341450838437083
170,1760.0,0.2606563607688308,0.008529722486807976,0.002510335632207342,0.006370665677715617
171,1770.0,0.26054910569870265,0.008984291150980601,0.0026854964727373257,0.006626089560858138
172,1780.0,0.2592881324971442,0.009022765259810146,0.00235344104176641,0.006191746981324523
173,1790.0,0.25949573811370485,0.009419656277199711,0.002539777146140435,0.007011791477347477
174,1800.0,0.2597031773071343,0.009478008649173383,0.0027044313045067356,0.006853201135213577
175,1810.0,0.2575548718996452,0.009621025873630205,0.0026694711242709395,0.0068737492065283285
176,1820.0,0.2575160227487483,0.009514689010866608,0.00263091720975743,0.007131170331710929
177,1830.0,0.2566124138735668,0.010037629360545688,0.0026731995570497607,0.0072105434449894435
178,1840.0,0.25569470097699853,0.010314330295590552,0.0026183166778688052,0.00719807409512354
179,1850.0,0.2560429400427831,0.010506349138080084,0.0028151510179589257,0.007219559390254507
180,1860.0,0.25486017212327544,0.010677168751643403,0.0027169090639902207,0.0076278572642529624
181,1870.0,0.25581357481270217,0.010774468188184831,0.0026675453588679717,0.007705327351764378
182,1880.0,0.253884524571435,0.010919774317628233,0.002806428575568417,0.007719733403605541
183,1890.0,0.25567049299865097,0.011127972874750309,0.002725180595752023,0.007851550122322389
184,1900.0,0.2531702656405112,0.011224633419523455,0.0027604687777783078,0.00798953858706785
185,1910.0,0.2517970265629059,0.011506960727245705,0.0029182676294150778,0.008288243149047924
186,1920.0,0.25296483283420523,0.011966556566810366,0.0027267402995995818,0.00837550468683373
187,1930.0,0.2519955218662003,0.01189215705148949,0.0028801812085338554,0.008377558770978613
188,1940.0,0.2513224205176873,0.012172080289247956,0.002993090252943677,0.008167798739547835
189,1950.0,0.25004161061777236,0.012328440523515163,0.0029455823012470733,0.008823251566380589
190,1960.0,0.24980345527983347,0.01213379799129477,0.002696599035721646,0.008604161703525959
191,1970.0,0.24930033390967618,0.01265067351344072,0.0028826135889541632,0.008686407158998467
192,1980.0,0.24802195519862955,0.012530685477947482,0.003086868813981214,0.008827157867890113
193,1990.0,0.24808303532553527,0.012889380093420938,0.0028139668548379463,0.009070105930963846
194,2000.0,0.2476993990633913,0.013215212394586678,0.003155099632367074,0.009322614911465627
195,2010.0,0.2461001156298266,0.013365782141964721,0.003132619059506774,0.009395194141632104
196,2020.0,0.2474184716444407,0.013837080821466658,0.002955389592424089,0.009444821634407553
197,2030.0,0.24564833932392996,0.013955843153199914,0.0031007082047015667,0.00941634259194779
198,2040.0,0.2457143563886937,0.013569511274424876,0.003324786490797031,0.009523750620329844
199,2050.0,0.24512101660019228,0.014230754496584917,0.0029545521555778003,0.009463041263159253
200,2060.0,0.24563824828413944,0.014453037576460333,0.0031651236651665995,0.009667053642150003
201,2070.0,0.24414519123618394,0.014421248102107084,0.003082357209537393,0.010029306563453433
202,2080.0,0.24378149480446323,0.014482633022878038,0.00324007832287928,0.009869224234228719
203,2090.0,0.24301255722051518,0.01505389072218453,0.0032140765872478425,0.010227960417387442
204,2100.0,0.24231634993377063,0.015093641058311518,0.003177102625917098,0.010533821416108079
205,2110.0,0.24219977835205972,0.015610737046571491,0.0032294466916126105,0.010808439899805575
206,2120.0,0.24302909484552854,0.01579715250530079,0.003213615065184439,0.010511108532533326
207,2130.0,0.24167111712605924,0.01568474206802329,0.0034257727526493128,0.01087910799624603
208,2140.0,0.2410092555803993,0.01581606960030461,0.003334085818246031,0.01086616771233049
209,2150.0,0.23983189782744002,0.016168530073310743,0.0032750772334140493,0.010987607155970231
210,2160.0,0.23964902544113104,0.01618450455831915,0.003391145856764169,0.011174131844992694
211,2170.0,0.23889736601996917,0.016644728813686574,0.0035302821676087516,0.011401880565257854
212,2180.0,0.23785299385453662,0.016732571371833954,0.0034393677281855752,0.01151021060649733
213,2190.0,0.23817196521590703,0.016865424322971383,0.003416958194891218,0.011376096467583452
214,2200.0,0.237245342885752,0.01680780539979221,0.0035380344699868413,0.011796303789762421
215,2210.0,0.23691521143476676,0.017256681223494403,0.003421346977428657,0.011534729028335732
216,2220.0,0.2364616695181769,0.017542279400154483,0.0034673424954598845,0.012133566297150518
217,2230.0,0.23595885648718753,0.01739647607343137,0.0035005727049913517,0.011943480858046106
218,2240.0,0.23529175718439,0.01805241065202102,0.00357239472354678,0.012402211857948696
219,2250.0,0.2351534083798171,0.017782745310314527,0.00349957916862025,0.012219703036940961
220,2260.0,0.23568583306170848,0.018011377281913103,0.0037025456778504834,0.01251260576172024
221,2270.0,0.23386550150294846,0.018616680323309966,0.003758130440878668,0.012428010689431567
222,2280.0,0.23288045213712819,0.018722225017487135,0.0036378079612204633,0.012798976015694723
223,2290.0,0.23277442311593977,0.01886658938949257,0.0037857855293971965,0.01306154976263986
224,2300.0,0.23218460694425297,0.01929042447033944,0.0035623051116121084,0.013008256947571994
225,2310.0,0.23222031313601618,0.019202415050609947,0.0037199447465087448,0.013285158206984763
226,2320.0,0.23091127599273992,0.01963306026092229,0.003804208508099669,0.013383289140472836
227,2330.0,0.23120668207400863,0.01948372790012778,0.003663621208197598,0.013367131363182497
228,2340.0,0.23025749038733648,0.01979192683107507,0.003796443830777285,0.013467024696994269
229,2350.0,0.23071750398787247,0.020100275230309207,0.003734713614102786,0.013582817523062604
230,2360.0,0.2292481807190523,0.02034279103646278,0.0037768571440078245,0.013517085655678497
231,2370.0,0.22776187736178719,0.02058489752775316,0.003967475630198428,0.014138369805154797
232,2380.0,0.2293941656143572,0.020414658806692146,0.003849139523931264,0.013786963024184211
233,2390.0,0.22728808486427546,0.020843690329633634,0.003925539649905637,0.014283776533358243
234,2400.0,0.2276440720029609,0.021037316175427024,0.004090132788676602,0.014384482670020345
235,2410.0,0.22703186623351104,0.021238464905715546,0.00409284627937962,0.014614375882238162
236,2420.0,0.22636211408690213,0.021225344485116246,0.003993081502301201,0.014480252210378616
