,Eg,FWHM,Eff_tot,FE,SE,DE,c511
175,1810.0,0.91308,0.96744,139030.0,5193.5,1441.0,3710.5
176,1820.0,0.91173,0.96828,139480.0,5153.5,1425.0,3862.5
177,1830.0,0.91039,0.96796,139240.0,5446.5,1450.5,3912.5
178,1840.0,0.90906,0.96864,139160.0,5613.5,1425.0,3917.5
179,1850.0,0.90774,0.96753,139520.0,5725.0,1534.0,3934.0
180,1860.0,0.90644,0.96716,139160.0,5830.0,1483.5,4165.0
181,1870.0,0.90515,0.96607,139820.0,5889.0,1458.0,4211.5
182,1880.0,0.90388,0.9656,139000.0,5978.5,1536.5,4226.5
183,1890.0,0.90261,0.96395,140070.0,6096.5,1493.0,4301.5
184,1900.0,0.90136,0.9653,139220.0,6172.5,1518.0,4393.5
185,1910.0,0.90012,0.96466,138700.0,6338.5,1607.5,4565.5
186,1920.0,0.8989,0.96614,139900.0,6618.0,1508.0,4632.0
187,1930.0,0.89768,0.96459,139420.0,6579.5,1593.5,4635.0
188,1940.0,0.89648,0.96677,139680.0,6765.0,1663.5,4539.5
189,1950.0,0.89529,0.96452,138960.0,6851.5,1637.0,4903.5
190,1960.0,0.89411,0.96436,139140.0,6758.5,1502.0,4792.5
191,1970.0,0.89294,0.96324,138980.0,7052.5,1607.0,4842.5
192,1980.0,0.89178,0.96435,138760.0,7010.5,1727.0,4938.5
193,1990.0,0.89063,0.9623,138810.0,7212.0,1574.5,5075.0
194,2000.0,0.88949,0.96216,138880.0,7409.5,1769.0,5227.0
195,2010.0,0.88837,0.96442,138620.0,7528.5,1764.5,5292.0
196,2020.0,0.88725,0.96243,139390.0,7795.5,1665.0,5321.0
197,2030.0,0.88615,0.96257,138720.0,7881.0,1751.0,5317.5
198,2040.0,0.88505,0.96244,139050.0,7679.0,1881.5,5389.5
199,2050.0,0.88396,0.96123,138840.0,8060.5,1673.5,5360.0
200,2060.0,0.88289,0.96155,139500.0,8208.0,1797.5,5490.0
201,2070.0,0.88182,0.96126,138890.0,8204.0,1753.5,5705.5
202,2080.0,0.88077,0.96177,139080.0,8262.5,1848.5,5630.5
203,2090.0,0.87972,0.96067,138780.0,8597.0,1835.5,5841.0
204,2100.0,0.87868,0.96018,138620.0,8634.5,1817.5,6026.0
205,2110.0,0.87765,0.95991,138820.0,8947.5,1851.0,6195.0
206,2120.0,0.87663,0.95914,139490.0,9067.0,1844.5,6033.0
207,2130.0,0.87562,0.96008,139150.0,9031.0,1972.5,6264.0
208,2140.0,0.87462,0.95819,138790.0,9108.0,1920.0,6257.5
209,2150.0,0.87363,0.95908,138550.0,9340.5,1892.0,6347.5
210,2160.0,0.87264,0.96025,138900.0,9380.5,1965.5,6476.5
211,2170.0,0.87167,0.95902,138590.0,9656.0,2048.0,6614.5
212,2180.0,0.8707,0.95753,138070.0,9713.0,1996.5,6681.5
213,2190.0,0.86974,0.95668,138430.0,9802.5,1986.0,6612.0
214,2200.0,0.86879,0.95863,138470.0,9810.0,2065.0,6885.0
215,2210.0,0.86784,0.95632,138250.0,10070.0,1996.5,6731.0
216,2220.0,0.86691,0.95855,138610.0,10283.0,2032.5,7112.5
217,2230.0,0.86598,0.95885,138620.0,10220.0,2056.5,7016.5
218,2240.0,0.86506,0.95777,138380.0,10617.0,2101.0,7294.0
219,2250.0,0.86415,0.95833,138690.0,10488.0,2064.0,7207.0
220,2260.0,0.86324,0.95739,139150.0,10634.0,2186.0,7387.5
221,2270.0,0.86235,0.95785,138460.0,11022.0,2225.0,7358.0
222,2280.0,0.86146,0.95693,138020.0,11096.0,2156.0,7585.5
223,2290.0,0.86057,0.9564,138160.0,11198.0,2247.0,7752.5
224,2300.0,0.8597,0.95618,138080.0,11472.0,2118.5,7736.0
225,2310.0,0.85883,0.9585,138710.0,11470.0,2222.0,7935.5
226,2320.0,0.85797,0.95752,138090.0,11741.0,2275.0,8003.5
227,2330.0,0.85712,0.95824,138650.0,11684.0,2197.0,8016.0
228,2340.0,0.85627,0.95515,137920.0,11855.0,2274.0,8066.5
229,2350.0,0.85543,0.95687,138750.0,12088.0,2246.0,8168.5
230,2360.0,0.85459,0.95738,138240.0,12267.0,2277.5,8151.0
231,2370.0,0.85377,0.95821,137720.0,12447.0,2399.0,8549.0
232,2380.0,0.85294,0.95624,138740.0,12347.0,2328.0,8338.5
233,2390.0,0.85213,0.95516,137570.0,12616.0,2376.0,8645.5
234,2400.0,0.85132,0.9584,138530.0,12802.0,2489.0,8753.5
235,2410.0,0.85052,0.95713,138260.0,12934.0,2492.5,8900.0
236,2420.0,0.84972,0.95601,137980.0,12938.0,2434.0,8826.5
237,2430.0,0.84893,0.95539,138240.0,13256.0,2407.0,9046.0
238,2440.0,0.84815,0.95685,138200.0,13388.0,2489.5,9053.5
239,2450.0,0.84737,0.95556,137990.0,13566.0,2490.5,9136.5
240,2460.0,0.8466,0.95817,138230.0,13664.0,2588.0,9576.5
241,2470.0,0.84584,0.95696,138330.0,13702.0,2594.5,9331.0
242,2480.0,0.84508,0.95569,137840.0,14042.0,2566.5,9544.5
243,2490.0,0.84432,0.95676,138450.0,14008.0,2603.0,9457.0
244,2500.0,0.84357,0.95709,137900.0,14181.0,2639.5,9852.0
245,2510.0,0.84283,0.95824,138440.0,14490.0,2663.0,9898.5
246,2520.0,0.84209,0.95833,138220.0,14351.0,2692.0,10020.0
247,2530.0,0.84136,0.95824,138370.0,14510.0,2662.5,9948.0
248,2540.0,0.84063,0.95814,137980.0,15080.0,2699.0,10406.0
249,2550.0,0.83991,0.95687,137740.0,14930.0,2824.0,10152.0
250,2560.0,0.8392,0.95935,138610.0,15070.0,2788.0,10451.0
251,2570.0,0.83849,0.95897,138210.0,15330.0,2773.5,10514.0
252,2580.0,0.83778,0.95761,137920.0,15434.0,2835.0,10489.0
253,2590.0,0.83708,0.95669,138020.0,15730.0,2738.5,10779.0
254,2600.0,0.83638,0.95713,138530.0,15730.0,2795.5,10808.0
255,2610.0,0.83569,0.95705,138420.0,15781.0,2834.0,11026.0
256,2620.0,0.83501,0.95756,138430.0,16110.0,2986.5,10984.0
257,2630.0,0.83433,0.95578,138020.0,15998.0,2892.0,10966.0
258,2640.0,0.83365,0.95823,137850.0,16721.0,2963.5,11256.0
259,2650.0,0.83298,0.95756,137790.0,16662.0,3025.0,11314.0
260,2660.0,0.83231,0.95687,138160.0,16620.0,3014.5,11398.0
261,2670.0,0.83165,0.9572,138290.0,16780.0,3028.5,11492.0
262,2680.0,0.831,0.95699,137410.0,17156.0,3031.5,11920.0
263,2690.0,0.83034,0.95675,137910.0,17392.0,3045.5,11891.0
264,2700.0,0.8297,0.95737,138290.0,17370.0,3073.5,11766.0
265,2710.0,0.82905,0.95701,137840.0,17620.0,3108.0,12247.0
266,2720.0,0.82841,0.95673,137910.0,17527.0,3115.0,12055.0
267,2730.0,0.82778,0.95756,137870.0,17841.0,3064.5,12394.0
268,2740.0,0.82715,0.95881,138010.0,18004.0,3128.5,12255.0
269,2750.0,0.82652,0.95799,138220.0,17966.0,3130.0,12414.0
270,2760.0,0.8259,0.95798,137870.0,18396.0,3063.5,12794.0
271,2770.0,0.82528,0.96022,138460.0,18724.0,3262.0,12708.0
272,2780.0,0.82467,0.9578,137150.0,18574.0,3304.0,12645.0
273,2790.0,0.82406,0.95649,137830.0,18480.0,3139.5,12880.0
274,2800.0,0.82346,0.95833,137610.0,18828.0,3238.5,13202.0
275,2810.0,0.82286,0.95918,137790.0,19190.0,3334.0,13280.0
276,2820.0,0.82226,0.95994,138310.0,19180.0,3242.5,13201.0
277,2830.0,0.82167,0.95702,137730.0,19324.0,3367.0,13368.0
278,2840.0,0.82108,0.95866,137720.0,19669.0,3394.5,13520.0
279,2850.0,0.82049,0.95974,137640.0,20021.0,3442.5,13590.0
280,2860.0,0.81991,0.95884,137920.0,19836.0,3417.0,13794.0
281,2870.0,0.81934,0.95758,138070.0,20093.0,3466.0,13822.0
282,2880.0,0.81876,0.95778,138060.0,20020.0,3525.0,14096.0
283,2890.0,0.81819,0.95921,137610.0,20402.0,3576.5,14300.0
284,2900.0,0.81763,0.96138,137330.0,20569.0,3472.0,14166.0
285,2910.0,0.81706,0.9609,137960.0,20854.0,3591.0,14419.0
286,2920.0,0.8165,0.96081,138490.0,20952.0,3653.5,14494.0
287,2930.0,0.81595,0.95864,138580.0,21023.0,3641.0,14686.0
288,2940.0,0.8154,0.95943,138090.0,21216.0,3572.5,14581.0
289,2950.0,0.81485,0.96011,137480.0,21528.0,3721.0,14729.0
290,2960.0,0.8143,0.96097,137600.0,21572.0,3633.5,14668.0
291,2970.0,0.81376,0.96029,137360.0,21803.0,3627.5,14970.0
292,2980.0,0.81323,0.96227,137650.0,22092.0,3750.0,15202.0
293,2990.0,0.81269,0.96346,137950.0,21901.0,3743.5,15190.0
294,3000.0,0.81216,0.96199,137920.0,22199.0,3812.5,15274.0
295,3010.0,0.81163,0.96102,137330.0,22214.0,3711.0,15575.0
296,3020.0,0.81111,0.96126,138040.0,22556.0,3758.5,15684.0
297,3030.0,0.81059,0.96127,137330.0,22341.0,3769.5,15532.0
298,3040.0,0.81007,0.96073,137940.0,22684.0,3820.0,15732.0
299,3050.0,0.80955,0.96053,138280.0,22846.0,3851.5,15856.0
300,3060.0,0.80904,0.96296,138070.0,23286.0,3922.0,15843.0
301,3070.0,0.80853,0.96241,137810.0,23396.0,3921.5,16156.0
302,3080.0,0.80803,0.96169,137780.0,23334.0,3859.5,16360.0
303,3090.0,0.80753,0.96456,138120.0,23404.0,3892.5,16297.0
304,3100.0,0.80703,0.96286,137300.0,24008.0,3997.5,16545.0
305,3110.0,0.80653,0.9644,137510.0,23726.0,4065.5,16696.0
306,3120.0,0.80604,0.96456,137400.0,24144.0,4064.0,17021.0
307,3130.0,0.80555,0.96456,137870.0,24234.0,4090.5,16874.0
308,3140.0,0.80506,0.96324,137520.0,24382.0,4136.5,16944.0
309,3150.0,0.80458,0.96478,138090.0,24522.0,4054.0,17174.0
310,3160.0,0.8041,0.96444,138090.0,25016.0,4039.0,17189.0
311,3170.0,0.80362,0.9649,137230.0,25074.0,4166.0,17514.0
312,3180.0,0.80314,0.9645,137490.0,25148.0,4231.5,17640.0
313,3190.0,0.80267,0.96576,138190.0,25444.0,4154.5,17634.0
314,3200.0,0.8022,0.96546,137760.0,25471.0,4281.0,18022.0
315,3210.0,0.80173,0.96569,137720.0,25713.0,4267.5,18142.0
316,3220.0,0.80127,0.96564,137080.0,25599.0,4307.5,18150.0
317,3230.0,0.8008,0.9661,138170.0,25946.0,4220.0,18084.0
318,3240.0,0.80035,0.96768,137750.0,26014.0,4318.5,18104.0
319,3250.0,0.79989,0.96601,136960.0,26644.0,4304.0,18312.0
320,3260.0,0.79944,0.96671,137790.0,26360.0,4276.5,18703.0
321,3270.0,0.79898,0.96958,137820.0,26791.0,4463.0,18945.0
322,3280.0,0.79854,0.96597,137770.0,26862.0,4291.0,18752.0
323,3290.0,0.79809,0.96817,138130.0,26694.0,4527.0,18939.0
324,3300.0,0.79765,0.97029,137580.0,27414.0,4472.5,19250.0
325,3310.0,0.79721,0.96683,137350.0,27230.0,4392.5,18970.0
326,3320.0,0.79677,0.96914,138170.0,27742.0,4576.0,19346.0
327,3330.0,0.79633,0.96634,138000.0,27499.0,4442.0,19404.0
328,3340.0,0.7959,0.96846,138050.0,27896.0,4593.0,19650.0
329,3350.0,0.79547,0.96781,138020.0,27962.0,4741.0,19930.0
330,3360.0,0.79504,0.96875,138480.0,28044.0,4499.0,19584.0
331,3370.0,0.79461,0.96907,138460.0,28177.0,4614.0,19936.0
332,3380.0,0.79419,0.96936,137560.0,28720.0,4737.5,20055.0
333,3390.0,0.79377,0.96879,137390.0,28900.0,4713.0,20373.0
334,3400.0,0.79335,0.9695,137910.0,28472.0,4821.5,19970.0
335,3410.0,0.79293,0.97007,137780.0,28914.0,4750.0,20366.0
336,3420.0,0.79252,0.97,137980.0,29204.0,4700.0,20475.0
337,3430.0,0.7921,0.97011,137430.0,29362.0,4679.0,20682.0
338,3440.0,0.79169,0.97197,137680.0,29680.0,4878.5,20824.0
339,3450.0,0.79129,0.97153,137800.0,29681.0,4721.5,20970.0
340,3460.0,0.79088,0.96955,138000.0,29736.0,4721.5,21054.0
341,3470.0,0.79048,0.9722,138020.0,29864.0,4835.5,21344.0
342,3480.0,0.79008,0.96896,138260.0,30013.0,4833.0,21412.0
343,3490.0,0.78968,0.97081,138020.0,30304.0,4888.0,21294.0
344,3500.0,0.78928,0.97153,137700.0,30702.0,5035.5,21737.0
345,3510.0,0.78889,0.97279,137820.0,30999.0,4918.0,21702.0
346,3520.0,0.78849,0.9711,137550.0,30881.0,4859.0,21725.0
347,3530.0,0.7881,0.9732,137800.0,31172.0,5028.5,21999.0
348,3540.0,0.78772,0.97196,137760.0,30870.0,4945.0,21937.0
349,3550.0,0.78733,0.97293,136990.0,31185.0,5163.0,22417.0
350,3560.0,0.78695,0.97438,137550.0,31207.0,5156.0,22567.0
351,3570.0,0.78656,0.97255,137470.0,31484.0,5117.0,22444.0
352,3580.0,0.78618,0.97397,137130.0,31732.0,5114.0,22726.0
353,3590.0,0.78581,0.972,137580.0,31506.0,5147.5,22702.0
354,3600.0,0.78543,0.97556,137070.0,32092.0,5291.5,22884.0
355,3610.0,0.78506,0.97621,136960.0,32311.0,5183.0,23285.0
356,3620.0,0.78468,0.9736,137210.0,32220.0,5178.0,23060.0
357,3630.0,0.78431,0.9759,137890.0,32519.0,5276.0,23296.0
358,3640.0,0.78395,0.97488,138140.0,32563.0,5186.5,23059.0
359,3650.0,0.78358,0.97366,137860.0,33169.0,5350.0,23634.0
360,3660.0,0.78322,0.97471,137190.0,33027.0,5313.0,23474.0
361,3670.0,0.78285,0.97692,138570.0,33802.0,5317.0,23940.0
362,3680.0,0.78249,0.97552,137900.0,33118.0,5294.5,23796.0
363,3690.0,0.78213,0.97648,137640.0,33392.0,5381.0,23865.0
364,3700.0,0.78178,0.97864,137710.0,33852.0,5345.0,24346.0
365,3710.0,0.78142,0.97758,137670.0,34322.0,5291.5,24240.0
366,3720.0,0.78107,0.97557,137190.0,33604.0,5406.5,24624.0
367,3730.0,0.78072,0.97785,138430.0,34254.0,5463.5,24474.0
368,3740.0,0.78037,0.97717,137390.0,34503.0,5512.5,25035.0
369,3750.0,0.78002,0.97805,137820.0,34629.0,5364.5,24820.0
370,3760.0,0.77967,0.9784,137180.0,34700.0,5496.5,25014.0
371,3770.0,0.77933,0.97914,137930.0,34961.0,5669.0,25206.0
372,3780.0,0.77899,0.9803,138040.0,35082.0,5527.0,25181.0
373,3790.0,0.77864,0.97952,137800.0,35250.0,5516.5,25116.0
374,3800.0,0.77831,0.98177,137520.0,35882.0,5662.0,25761.0
375,3810.0,0.77797,0.9797,137940.0,35314.0,5693.0,25491.0
